PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,3,"Cumings, Mrs. Lily",female,26.2,0,1,17.63,S
2,0,2,"Heikkinen, Mr. Timothy",male,17.0,0,2,13.72,Q
3,1,1,"Futrelle, Mr. Maria",male,27.4,1,0,37.16,
4,0,3,"Allen, Mr. John",male,,1,0,12.46,S
5,0,3,"Moran, Mr. Harry",male,42.0,1,0,6.96,S
6,0,3,"McCarthy, Mr. Nora",male,39.3,0,0,10.05,C
7,0,2,"Palsson, Mr. Florence",male,46.0,1,1,24.15,S
8,0,3,"Johnson, Mr. William",male,51.3,0,0,11.49,S
9,0,2,"Nasser, Mr. Gustaf",male,39.1,0,0,34.21,S
10,0,1,"Sandstrom, Mr. Margit",male,1.5,0,0,142.85,S
11,0,2,"Bonnell, Mr. Heinrich",male,27.1,0,1,25.31,S
12,0,3,"Chambers, Mr. Ada",male,31.3,0,1,13.52,S
13,0,3,"Frolicher, Mr. Thomas",male,40.9,1,1,10.85,S
14,0,2,"Kelly, Mrs. Laina",female,18.9,0,0,23.65,S
15,0,3,"Anderson, Mrs. James",female,30.1,0,0,8.61,Q
16,1,1,"Smith, Mr. Oscar",male,49.7,1,1,79.34,S
17,1,2,"Brown, Mrs. Elizabeth",female,14.5,0,2,21.14,S
18,1,1,"Davis, Mr. Annie",male,46.5,0,0,41.3,C
19,0,2,"Wilson, Mrs. Edward",female,41.6,1,0,32.54,C
20,0,3,"Braund, Mr. Owen",male,6.4,0,0,15.53,S
21,1,1,"Cumings, Mrs. Lily",female,30.5,0,0,52.79,C
22,0,3,"Heikkinen, Mrs. Timothy",female,20.8,2,0,13.43,Q
23,1,2,"Futrelle, Mr. Maria",male,9.7,0,0,25.71,S
24,1,2,"Allen, Mr. John",male,2.4,0,0,36.67,S
25,0,1,"Moran, Mrs. Harry",female,30.7,0,0,95.47,Q
26,0,3,"McCarthy, Mr. Nora",male,12.2,0,1,18.13,S
27,1,2,"Palsson, Mr. Florence",male,29.1,0,0,23.44,S
28,1,1,"Johnson, Mrs. William",female,24.5,4,0,72.94,S
29,0,2,"Nasser, Mr. Gustaf",male,,1,0,21.97,S
30,0,3,"Sandstrom, Mr. Margit",male,26.9,1,1,8.76,C
31,1,1,"Bonnell, Mr. Heinrich",male,21.6,1,1,72.77,C
32,1,2,"Chambers, Mr. Ada",male,47.9,0,3,23.28,Q
33,0,3,"Frolicher, Mr. Thomas",male,43.4,0,0,13.23,Q
34,0,3,"Kelly, Mr. Laina",male,32.9,2,0,4.92,S
35,0,3,"Anderson, Mr. James",male,27.9,1,0,21.48,C
36,1,3,"Smith, Mrs. Oscar",female,13.9,1,1,10.01,C
37,0,3,"Brown, Mr. Elizabeth",male,9.8,0,0,16.21,S
38,1,2,"Davis, Mrs. Annie",female,44.4,1,0,29.06,S
39,0,1,"Wilson, Mr. Edward",male,,1,1,84.59,S
40,0,1,"Braund, Mr. Owen",male,34.7,0,0,78.61,S
41,0,1,"Cumings, Mr. Lily",male,29.3,0,1,52.64,S
42,0,3,"Heikkinen, Mrs. Timothy",female,26.8,0,0,14.53,S
43,0,3,"Futrelle, Mr. Maria",male,17.3,2,1,12.35,S
